,agent_name,properties
222,De Run Trading B.V.,2 properties in Amsterdam
223,Lankhorst Makelaars,2 properties in Amsterdam
224,Eeya Real Estate Management,2 properties in Amsterdam
225,Jansen Smit Makelaars Taxateurs,2 properties in Amsterdam
226,Makelaars Anno Nu,2 properties in Amsterdam
227,21 Zuid Makelaardij,2 properties in Amsterdam
228,Kapitaal Kompas B.V.,2 properties in Amsterdam
229,rentalsoncall2.nl,2 properties in Amsterdam
230,Muiderpoort Vastgoedbeheer VOF,2 properties in Amsterdam
231,Dutch Brickx Real Estate Purmerend - Zaandam e.o.,2 properties in Amsterdam
232,Imperio Vastgoed,2 properties in Amsterdam
233,Engel & Völkers Amsterdam Zuidas,2 properties in Amsterdam
234,By Ruth,2 properties in Amsterdam
235,Van Laar Vastgoed,2 properties in Amsterdam
236,Lens Real Estate,2 properties in Amsterdam
237,VZ Makelaardij & Taxaties,2 properties in Amsterdam
238,Viëtor Beheer,2 properties in Amsterdam
239,De Plantage Makelaars,2 properties in Amsterdam
240,Boon Properties,1 property in Amsterdam
241,VRC - Veth Realty & Consultancy BV,1 property in Amsterdam
242,A&N Vastgoed,1 property in Amsterdam
243,Nico Tel Makelaars,1 property in Amsterdam
244,Evers Makelaardij & Taxateurs,1 property in Amsterdam
245,ISAAK Makelaardij o.g. B.V.,1 property in Amsterdam
246,&Bijleveld Makelaardij,1 property in Amsterdam
247,De Groot & Compagnons,1 property in Amsterdam
248,Brick Brokers,1 property in Amsterdam
249,Lunshof Makelaardij,1 property in Amsterdam
250,De Nieuwe Amsterdamsche Makelaardij,1 property in Amsterdam
251,Siewe Woning Makelaars,1 property in Amsterdam
252,Cocq Makelaars,1 property in Amsterdam
253,Makelaarsgroep o.g. Commissaris,1 property in Amsterdam
254,Unlimited Housing,1 property in Amsterdam
255,Henk Burger Makelaardij,1 property in Amsterdam
256,Domvast,1 property in Amsterdam
257,Asunaro Holland Interplan,1 property in Amsterdam
258,Lighthouse Property Services,1 property in Amsterdam
259,Nuverhuren.nl,1 property in Amsterdam
260,brief case hometip,1 property in Amsterdam
261,Regent Makelaars,1 property in Amsterdam
262,Expats Amsterdam,1 property in Amsterdam
263,Orangebrick BV,1 property in Amsterdam
264,HousingNOW,1 property in Amsterdam
265,Caron & Co Makelaars o.g.,1 property in Amsterdam
266,Makelaarskantoor BEN BV,1 property in Amsterdam
267,020-Makelaars,1 property in Amsterdam
268,Dop Makelaars,1 property in Amsterdam
269,Randstadkamer,1 property in Amsterdam
270,Centraal Makelaardij,1 property in Amsterdam
271,The Young Rentals,1 property in Amsterdam
272,Rental Valley,1 property in Amsterdam
273,Tameling Verhuur,1 property in Amsterdam
274,Project Com XS,1 property in Amsterdam
275,Blokbeheer,1 property in Amsterdam
276,RELO Wonen,1 property in Amsterdam
277,Kalwij Vastgoed,1 property in Amsterdam
278,2ndhome4u,1 property in Amsterdam
279,RG Woonadvies,1 property in Amsterdam
280,VERRA Real Estate Rotterdam,1 property in Amsterdam
281,Leliegracht Apartments,1 property in Amsterdam
282,Mar. J. Heule,1 property in Amsterdam
283,Lengers Housing,1 property in Amsterdam
284,ImmoStel,1 property in Amsterdam
285,Draijer Makelaardij & Vastgoedbeheer,1 property in Amsterdam
286,Qures Vastgoedmanagement,1 property in Amsterdam
287,P.H. Kuijper en Zonen Makelaardij en Vastgoedmanagement B.V.,1 property in Amsterdam
288,PPHAW real estate,1 property in Amsterdam
289,Hoofdstad Makelaars,1 property in Amsterdam
290,Edens Makelaardij,1 property in Amsterdam
291,Momo Makelaardij en Vastgoed B.V.,1 property in Amsterdam
292,123Wonen Amstelveen,1 property in Amsterdam
293,O'Real Estate,1 property in Amsterdam
294,Hostjehuisje,1 property in Amsterdam
295,Acikyurek Holding BV,1 property in Amsterdam
296,ViaDjo,1 property in Amsterdam
297,BnBBeheerder,1 property in Amsterdam
298,HouseHunting 't Gooi & Flevoland,1 property in Amsterdam
299,Bel de makelaar,1 property in Amsterdam
300,Makelaardij Prins van Wijngaarden,1 property in Amsterdam
301,Scholten Makelaars,1 property in Amsterdam
302,Mijn Huis Makelaardij,1 property in Amsterdam
303,EarthRock Housing,1 property in Amsterdam
304,Dutch Brickx Real Estate Amsterdam e.o.,1 property in Amsterdam
305,Paykar Makelaardij,1 property in Amsterdam
306,Aaiman Rentals,1 property in Amsterdam
307,The Real Estate Agency,1 property in Amsterdam
308,Den Uyl Real Estate,1 property in Amsterdam
309,11 Makelaars Amsterdam,1 property in Amsterdam
310,Makelaarskantoor Paul Schreinemachers,1 property in Amsterdam
311,Heemsteren Realisatie & Beheer B.V.,1 property in Amsterdam
312,Allround Apartments,1 property in Amsterdam
313,WE-Relocate,1 property in Amsterdam
314,Van der Borden Vastgoedprofessionals - Huur & Beheer,1 property in Amsterdam
315,Hendriks Housing,1 property in Amsterdam
316,Sweers & Boys,1 property in Amsterdam
317,De Nieuwe Verhuurmakelaar,1 property in Amsterdam
318,Marktpand,1 property in Amsterdam
319,Waldo Housing,1 property in Amsterdam
320,Griffith Estate,1 property in Amsterdam
321,Meliténe Makelaardij,1 property in Amsterdam
322,Van Thiel Bedrijfsmakelaardij BV,1 property in Amsterdam
323,Together Vastgoed,1 property in Amsterdam
324,De Nederlanden,0 properties in Amsterdam
325,Groot Amsterdam Makelaardij BV,0 properties in Amsterdam
326,Urban Short Stay,0 properties in Amsterdam
327,Wolf Huisvestingsgroep,0 properties in Amsterdam
328,Atelier Rozenbroek B.V.,0 properties in Amsterdam
329,Humij B.V.,0 properties in Amsterdam
330,Expats1stStop,0 properties in Amsterdam
331,Direct Capital B.V.,0 properties in Amsterdam
332,Dutch Expat Consult,0 properties in Amsterdam
333,Medici Living,0 properties in Amsterdam
